CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ANK02-05,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-06,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-07,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-08,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-09,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-10,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-11,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-12,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-13,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-14,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-15,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-16,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-17,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-18,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-19,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-20,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-21,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-22,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-23,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-24,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-25,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-26,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-27,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-28,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-29,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-30,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-31,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-32,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-33,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-34,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-35,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK03-01,250,495,Elegant Charming Imported Anklets,5.20,324,569,448,693,"3,604",,,OBX,AOZ,ZZN,
ANK03-02,250,495,Elegant Charming Imported Anklets,3.30,324,569,448,693,"2,287",,,OBX,AOZ,ZZN,
ANK03-03,250,495,Elegant Charming Imported Anklets,6.90,324,569,448,693,"4,782",,,OBX,AOZ,ZZN,
ANK03-04,250,495,Elegant Charming Imported Anklets,7.00,324,569,448,693,"4,851",,,OBX,AOZ,ZZN,
ANK03-05,250,495,Elegant Charming Imported Anklets,4.80,324,569,448,693,"3,326",,,OBX,AOZ,ZZN,
ANK03-06,250,495,Elegant Charming Imported Anklets,3.17,324,569,448,693,"2,197",,,OBX,AOZ,ZZN,
ANK03-07,250,495,Elegant Charming Imported Anklets,7.15,324,569,448,693,"4,955",,,OBX,AOZ,ZZN,
ANK03-08,250,495,Elegant Charming Imported Anklets,7.85,324,569,448,693,"5,440",,,OBX,AOZ,ZZN,
ANK03-09,250,495,Elegant Charming Imported Anklets,5.17,324,569,448,693,"3,583",,,OBX,AOZ,ZZN,
ANK03-10,250,495,Elegant Charming Imported Anklets,6.75,324,569,448,693,"4,678",,,OBX,AOZ,ZZN,
ANK03-11,250,495,Elegant Charming Imported Anklets,7.83,324,569,448,693,"5,423",,,OBX,AOZ,ZZN,
ANK03-12,250,495,Elegant Charming Imported Anklets,3.20,324,569,448,693,"2,218",,,OBX,AOZ,ZZN,
ANK04-01,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-02,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-03,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-04,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-05,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
ANK04-06,1499,"1,499",Kids Nazariya Ball Anklets,PC,"1,724","1,724","2,099","2,099","2,099",,,RZGG,RIOZ,OXGG,
